ori10,ori11,ori12,ori13,ori14,ori16,ori17,ori18,ori19,ori20,corrAns,distractor,responses,dist_freq,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,intro_2.started,intro_2.stopped,key_resp.keys,key_resp.rt,key_resp.duration,start_et_record_2.started,start_et_record_2.stopped,fix_check_3.started,fix_check_3.stopped,fix_practice_2.started,fixdur,fix_practice_2.stopped,practice_search_2.started,int14_2.started,per15_2.started,practice_search_2.stopped,response_2.keys,response_2.corr,response_2.rt,response_2.duration,feedback_4.started,feedback_4.stopped,pause_pract_2.started,pause_pract_2.stopped,text_feedback.started,stop_et_record_2.started,stop_et_record_2.stopped,break_3.started,break_3.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,fix_check_2.started,fix_check_2.stopped,fixation_2.started,fixation_2.stopped,search_displays_2.started,int14.started,per15.started,search_displays_2.stopped,response.keys,response.corr,response.rt,response.duration,feedback_6.started,feedback_6.stopped,pause_4.started,pause_4.stopped,text_feedback_2.started,int14.stopped,int14_3.started,per15.stopped,per15_3.started,int14_3.stopped,per15_3.stopped,text_feedback_2.stopped,end_2.started,end_2.stopped,participant,session,group,age,gender,date,expName,psychopyVersion,frameRate,
0,180,180,180,12,0,180,12,0,0,j,abs,resp,freq_top,0,29,29,8,,,,,,,,,,,,223.1068618071622,223.37973692979722,223.379750079137,1.0299639494742268,224.41170522256652,224.41171869262325,647.6092532232724,647.6092532232724,225.23741038804292,j,1,0.788124180297018,None,225.23792032590063,225.23796073607082,225.2379693953917,225.2384357159208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NGS,001,2,24,f,2024-02-09_14h55.39.801,eye_track_exp,2023.1.3,120.11306247385781,
180,180,180,-168,180,180,12,180,0,180,None,abs,inhibit,freq_top,0,30,30,22,,,,,,,,,,,,225.23891775151424,225.47793845274646,225.4779519228032,0.8974826317767715,226.3765666557738,226.37657980511358,649.5742602613791,649.5742602613791,229.3817930377154,None,1,,,229.38220676087803,229.3822481331954,229.38225807538038,260.1151551926923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NGS,001,2,24,f,2024-02-09_14h55.39.801,eye_track_exp,2023.1.3,120.11306247385781,
180,0,180,12,180,180,12,180,180,180,j,abs,resp,freq_top,0,31,31,1,,,,,,,,,,,,260.11572638723374,260.31532247796713,260.31533594802386,0.9758901961090582,261.2965436155646,261.29655644418744,684.4946172691925,684.4946172691925,262.0802533140377,j,1,0.749649208784831,None,262.08076421403894,262.0808043034922,262.08081296281307,262.081274151893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NGS,001,2,24,f,2024-02-09_14h55.39.801,eye_track_exp,2023.1.3,120.11306247385781,
0,180,0,12,0,12,0,180,180,180,j,abs,resp,freq_top,0,32,32,0,,,,,,,,,,,,262.0817533010486,262.2970208404222,262.2970336690487,1.09195234680382,263.3954051712826,263.3954192827732,686.5928216785833,686.5928216785833,263.9790733050104,j,1,0.5386552052041225,None,263.9796967762013,263.97973718636786,263.9797461664057,263.98004314908394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NGS,001,2,24,f,2024-02-09_14h55.39.801,eye_track_exp,2023.1.3,120.11306247385781,
180,180,0,168,180,180,180,0,0,168,f,abs,resp,freq_top,0,33,33,18,,,,,,,,,,,,263.98052037394154,264.19504481519834,264.1950579645418,0.9912552872279667,265.1854736985915,265.1854874893652,688.3829697433684,688.3829697433684,265.8020735548489,f,1,0.5731478507150314,None,265.802622940726,265.80266303017925,265.80267168950377,265.80314987650854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NGS,001,2,24,f,2024-02-09_14h55.39.801,eye_track_exp,2023.1.3,120.11306247385781,
180,12,180,12,0,180,0,180,180,180,j,abs,resp,freq_top,0,34,34,5,,,,,,,,,,,,265.8036691151174,266.0349066893905,266.03492048016415,0.9061389176852891,266.9416387350102,266.94165188435,690.1398130933449,690.1398130933449,267.5429715650316,j,1,0.560404215077142,None,267.5434872757687,267.5435292895163,267.5435379488372,267.5438997160709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NGS,001,2,24,f,2024-02-09_14h55.39.801,eye_track_exp,2023.1.3,120.11306247385781,
180,0,180,0,168,180,0,180,12,180,None,abs,inhibit,freq_top,0,35,35,30,,,,,,,,,,,,267.5443881659776,268.01691101456163,268.01692512605223,1.0251523677353092,269.0488029770131,269.04881644706984,692.2463458462698,692.2463458462698,272.06224641415974,None,1,,,272.0627881028631,272.06282915446354,272.0628387759316,272.06337533318583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NGS,001,2,24,f,2024-02-09_14h55.39.801,eye_track_exp,2023.1.3,120.11306247385781,
12,0,0,-168,0,0,180,180,180,180,None,abs,inhibit,freq_top,0,36,36,27,,,,,,,,,,,,272.0638695559719,272.2959134093471,272.29592720011715,0.7742846713472593,273.0701247936595,273.07013858443315,696.2679482890962,696.2679482890962,276.0838430841068,None,1,,,276.0842231321294,276.08426482516006,276.08427476734505,276.08498226603115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NGS,001,2,24,f,2024-02-09_14h55.39.801,eye_track_exp,2023.1.3,120.11306247385781,
90,0,0,12,0,12,180,180,180,0,j,present,resp,freq_top,0,37,37,32,,,,,,,,,,,,276.0854697537907,276.4434243192918,276.44343843077877,1.0708770065636293,277.5160843700214,277.5160975193612,700.7141823980382,700.7141823980382,278.26737709455483,f,0,0.7050758295299602,None,278.26788895670325,278.7729468025791,278.7729573861943,278.7737283865754,701.446882595952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NGS,001,2,24,f,2024-02-09_14h55.39.801,eye_track_exp,2023.1.3,120.11306247385781,
0,0,0,-168,0,0,0,12,0,0,None,abs,inhibit,freq_top,0,38,38,23,,,,,,,,,,,,278.7742700752751,278.7752546722659,278.77526461445086,1.0193931592543495,279.7980097670734,279.7980232371301,702.9955744449944,702.9955744449944,282.8114673157106,None,1,,,282.81185570234084,282.8125988004613,282.81260970479343,282.81393522250073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NGS,001,2,24,f,2024-02-09_14h55.39.801,eye_track_exp,2023.1.3,120.11306247385781,
168,0,270,180,180,180,180,168,180,180,f,present,resp,freq_top,0,39,39,49,,,,,,,,,,,,282.8144323317283,283.10382046082304,283.1038342515967,0.9882902941319789,284.09400207246654,284.09401522180633,707.2919275554705,707.2919275554705,285.1446854052265,f,1,1.0069734718526888,None,285.1451918152088,285.145232225379,285.1452412054168,285.1457213167196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NGS,001,2,24,f,2024-02-09_14h55.39.801,eye_track_exp,2023.1.3,120.11306247385781,
0,180,0,12,0,180,180,180,0,12,j,abs,resp,freq_top,0,40,40,4,,,,,,,,,,,,285.1461998244413,285.3600780236993,285.36009117304275,0.7696684201426215,286.1341806854143,286.13419383475775,709.3318730081555,709.3318730081555,286.8353734589218,j,1,0.6626294363450143,None,286.83587088886634,286.83591001617606,286.83591835478,286.8363962210715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NGS,001,2,24,f,2024-02-09_14h55.39.801,eye_track_exp,2023.1.3,120.11306247385781,
0,0,168,0,0,0,0,0,168,0,f,abs,resp,freq_top,0,41,41,11,,,,,,,,,,,,286.8368641451816,287.0751751027201,287.0751885727732,0.8099916731444666,287.89087746834775,287.8908906176912,711.0887083402449,711.0887083402449,288.8573735891332,f,1,0.9225133308718796,None,288.85794991512375,288.857990004577,288.8579986639015,288.85847300232126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NGS,001,2,24,f,2024-02-09_14h55.39.801,eye_track_exp,2023.1.3,120.11306247385781,
0,180,0,12,0,180,180,12,0,0,j,abs,resp,freq_top,0,42,42,2,,,,,,,,,,,,288.8589576036393,289.1571468111106,289.15715963973344,0.718468704224164,289.88088076209897,289.88089359072546,713.0786776381356,713.0786776381356,290.7643362292911,j,1,0.8357475652155699,None,290.764835262813,290.7648763144134,290.76488529445123,290.76533750349336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NGS,001,2,24,f,2024-02-09_14h55.39.801,eye_track_exp,2023.1.3,120.11306247385781,
