ori10,ori11,ori12,ori13,ori14,ori16,ori17,ori18,ori19,ori20,corrAns,distractor,respon,dist_freq,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp.keys,key_resp.rt,fixdur,int14_2.started,int14_2.stopped,per15_2.started,per15_2.stopped,response_pract.keys,response_pract.corr,response_pract.rt,key_resp_2.keys,key_resp_2.rt,int14.started,int14.stopped,per15.started,per15.stopped,response.keys,response.corr,text_7.started,text_7.stopped,response.rt,participant,session,1=top 2=bottom,age,gender,date,expName,psychopyVersion,frameRate,
180,0,180,0,180,-168,180,90,180,-168,f,present,resp,freq_bottom,,,,,0,476,476,797,,,1.0459761011605415,,,,,,,,,,2644.975666547637,None,2644.975666547637,None,f,1,None,None,0.9453443134107147,003,001,2,23,f,2021_Nov_08_1002,eye_tracking_exp,2021.2.3,84.93535493890802,
-12,0,-12,0,0,0,0,180,0,180,j,abs,resp,freq_bottom,,,,,0,477,477,99,,,1.0156956926207106,,,,,,,,,,2647.3629969130025,None,2647.3629969130025,None,j,1,None,None,0.8619712619520215,003,001,2,23,f,2021_Nov_08_1002,eye_tracking_exp,2021.2.3,84.93535493890802,
180,168,0,168,0,0,90,180,180,180,f,present,resp,freq_bottom,,,,,0,478,478,749,,,0.8530672863924198,,,,,,,,,,2649.445582141966,None,2649.445582141966,None,f,1,None,None,0.8434646775958754,003,001,2,23,f,2021_Nov_08_1002,eye_tracking_exp,2021.2.3,84.93535493890802,
0,180,0,-12,0,180,90,0,-12,180,j,present,resp,freq_bottom,,,,,0,479,479,612,,,0.7109690452592669,,,,,,,,,,2651.140070916098,None,2651.140070916098,None,j,1,None,None,2.4450939307434965,003,001,2,23,f,2021_Nov_08_1002,eye_tracking_exp,2021.2.3,84.93535493890802,
180,180,180,168,180,180,180,180,180,168,f,abs,resp,freq_bottom,,,,,0,480,480,219,,,0.9459435592747889,,,,,,,,,,2654.7405274909297,None,2654.7405274909297,None,f,1,None,None,0.9085895263333441,003,001,2,23,f,2021_Nov_08_1002,eye_tracking_exp,2021.2.3,84.93535493890802,
0,180,180,0,168,0,0,0,168,0,f,abs,resp,freq_bottom,,,,,0,481,481,214,,,0.851835110713858,,,,,,,,,,2656.9420446378417,None,2656.9420446378417,None,f,1,None,None,0.7390739707616376,003,001,2,23,f,2021_Nov_08_1002,eye_tracking_exp,2021.2.3,84.93535493890802,
180,180,0,0,-168,0,-168,180,180,180,f,abs,resp,freq_bottom,,,,,0,482,482,328,,,1.0331137428465191,,,,,,,,,,2658.9063260939192,None,2658.9063260939192,None,f,1,None,None,0.8388282969199281,003,001,2,23,f,2021_Nov_08_1002,eye_tracking_exp,2021.2.3,84.93535493890802,
180,0,180,90,0,180,-12,0,-12,180,j,present,resp,freq_bottom,,,,,0,483,483,579,,,0.9724825394102583,,,,,,,,,,2661.0828357625533,None,2661.0828357625533,None,j,1,None,None,1.0773951361125,003,001,2,23,f,2021_Nov_08_1002,eye_tracking_exp,2021.2.3,84.93535493890802,
180,0,0,168,180,168,0,270,180,180,f,present,resp,freq_bottom,,,,,0,484,484,783,,,1.085308494302754,,,,,,,,,,2663.753707670764,None,2663.753707670764,None,f,1,None,None,0.9185393320794901,003,001,2,23,f,2021_Nov_08_1002,eye_tracking_exp,2021.2.3,84.93535493890802,
0,0,0,180,180,180,12,180,180,12,j,abs,resp,freq_bottom,,,,,0,485,485,57,,,0.7712085306332531,,,,,,,,,,2665.8833280157824,None,2665.8833280157824,None,j,1,None,None,0.9329081881578531,003,001,2,23,f,2021_Nov_08_1002,eye_tracking_exp,2021.2.3,84.93535493890802,
